"";"record_id";"other_titles";"publisher";"country_of_publication";"main_topic";"data_type";"related_resources";"holdings";"holdings_begin";"holdings_end";"issn";"arabic_abstract";"english_abstract";"french_abstract";"canonical";"title"
"1";"BIM-100020";"Quarterly Statistical Bulletin : Banking and Monetary StatisticsStatistical Bulletin";"Central Bank of the United Arab Emirates";"United Arab Emirates";"Periodic Statistical ReportsEconomy";"Journals";" النشرة الإحصائية ";28;2002-09-30;2014-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-100020";" Statistical Bulletin"
"2";"BIM-10029";"Islamiyat al-Ma'rifahإسلامية المعرفة : مجلة الفكر الإسلامي المعاصر : مجلة علمية عالمية فصلية محكمةإسلامية المعرفة : مجلة فكرية فصلية";"International Institute of Islamic Thought";"Jordan";"Islamic Studies";"Journals";NA;93;1995-03-31;2019-10-31;"1729-4193";" إعادة صياغة المعرفة الإنسانية وفق الرؤية الكونية التوحيدية من خلال الجمع بين القراءتين : قراءة الوحي و قراءة الكون. الإصلاح المنهجي للفكر الإسلامي و إعطاء الاجتهاد مفهومه الشامل بوصفه يمثل التفاعل المستمر لعقل الإنسان المسلم مع الوحي الإلهي سعياً لتحقيق مقاصده و أحكامه و توجهاته فكرا و سلوكا و نظما و مؤسسات في إطار من الأوضاع الاجتماعية و التاريخية المتغيرة. العمل لتطوير و بلورة البديل المعرفي الإسلامي في العلوم الإنسانية و الاجتماعية على أساس من التمثل المنهجي للرؤية الكونية التوحيدية و القيم الأساسية و المقاصد العليا للإسلام من ناحية، و التمثل العلمي النقدي لمعطيات الخبرة العلمية و العملية الإنسانية في عمومها و شمولها من ناحية أخرى. تحرير الإنجاز العلمي و المعرفي الإنساني من الإحالات الفلسفية الدهرية التي ألبستها إياه المدارس الفكرية للعقل الوضعي المادي. وتسعى المجلة إلى تحقيق هذه الغايات و المقاصد الكبرى من خلال التركيز على المحاور الرئيسية التالية: 1. قضايا المعرفة : مصادرها و مناهجها و نظمها و فلسفتها. 2. منهج التعامل مع القرآن الكريم بوصفه أساس المرجعية الإسلامية، ومع السنة بوصفها تمثل نموذج البيان القولي و العملي و التطبيق الفعلي لأحكامه و توجيهاته في الإطار النسبي لظروف الزمان و المكان. 3. العلوم الإنسانية و الاجتماعية في المنظور الإسلامي فلسفة وأصولا ومناهج. 4. فلسفة العلوم الطبيعية في إطار رؤية الإسلام لمقام الإنسان و علاقاته التسخيرية بسائر ظواهر الكون و الطبيعة. 5. منهجية التعامل مع التراث الإسلامي في شموله و تعقيده و تاريخيته بوصفه تجسيداً للخبرة التاريخية للأمة، يعكس تفاعل العقل المسلم العقل المسلم مع نصوص الوحي لتنزيل قيمه و تحقيق مقاصده و إيقاع أحكامه في سياق الظروف المتحولة للتاريخ و المجتمع. 6. مناهج التعامل مع التراث الإنساني عموما و التراث الغربي خصوصا تعاملا علميا و نقديا يستوعب حكمته و ايجابياته و يتجاوز قصوره و سلبيات";NA;NA;"https://search.emarefa.net/detail/BIM-10029";" إسلامية المعرفة"
"3";"BIM-101981";NA;"Central Bank of the United Arab Emirates";"United Arab Emirates";"Periodic Statistical ReportsEconomyBanking and Financial Sciences";"Journals";" النشرة الاقتصادية ";1;2008-06-30;2008-06-30;NA;NA;"Central Bank of the United Arab Emirates. Publish its Researches in the field of Economics & Business Administration and Periodic Statistical Reports";NA;"https://search.emarefa.net/detail/BIM-101981";" Economic Bulletin"
"4";"BIM-102590";"العلوم السكانيةʻUlūm al-sukkānīyah";"Al-Azhar University International Islamic Center for Population Studies and Research";"Egypt";"Social Sciences (Multidisciplinary)";"Journals";" Reproductive Health and Population Sciences Journal ";13;2000-07-31;2012-01-31;"1110-7502";NA;"Journal of International Islamic Center for Population Studies and Research Issued from Al-Azhar University. Publish its Researches in the field of Social Sciences";NA;"https://search.emarefa.net/detail/BIM-102590";" Population Sciences"
"5";"BIM-10297";"Revue Marocaine des Régimes Juridiques et Politiques";"Musaid Abd al-Qadir";"Morocco";"LawPolitical Sciences";"Journals";NA;8;2002-03-31;2016-10-31;NA;"مجلة متخصصة تعنى بالدراسات القانونية و السياسية. تنشر أبحاثها في مجال العلوم القانونية و السياسية و الاقتصادية.";NA;NA;"https://search.emarefa.net/detail/BIM-10297";" المجلة المغربية للأنظمة القانونية و السياسية"
"6";"BIM-103831";"al-Dhurah wa-al-TanmiyahAtom and Development";"Arab Atomic Energy Agency";"Tunisia";"Natural & Life Sciences (Multidisciplinary)";"Journals";NA;73;2000-03-31;2019-09-30;"0330-7123";"تقوم الهيئة العربية للطاقة الذرية بإصدار نشرة علمية إعلامية فصلية هي نشرة الذرة و التنمية التي تضم مقالات علمية مبسطة مؤلفة أو مترجمة في مجال الاستخدام السلمي للطاقة الذرية و بذلك تساهم الهيئة في تعريف أبناء الوطن العربي بأساسيات العلوم و التقنيات النووية و استخداماتها في مختلف المجالات التطبيقية و أهميتها في التقدم الاقتصادي و الاجتماعي.";NA;NA;"https://search.emarefa.net/detail/BIM-103831";" الذرة و التنمية"
"7";"BIM-10425";"Association of Arab Universities Journal for Arts";"Association of Arab universities The Scientific Society of Faculties of Arts";"Jordan";"Literature";"Journals";NA;30;2007-06-30;2019-04-30;"1818-9849";"مجلة علمية محكمة تصدر عن اتحاد الجامعات العربية، جمعية كليات الآداب. تنشر أبحاثها في مجال العلوم الإنسانية";NA;NA;"https://search.emarefa.net/detail/BIM-10425";" مجلة اتحاد الجامعات العربية للآداب"
"8";"BIM-104682";"Silsilat Qadaya Istiratijiyah";"Damascus University Center for Strategic Studies and Research";"Syria";"Political Sciences";"Journals";NA;1;2006-01-31;2006-01-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-104682";" سلسلة قضايا استراتيجية"
"9";"BIM-107021";NA;"Central Bank of the United Arab Emirates";"United Arab Emirates";"Periodic Statistical ReportsEconomy";"Journals";" التقرير السنوي ";3;2008-12-31;2014-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-107021";" Annual Report"
"10";"BIM-107042";"Dirasat Iqtisadiyah Islamiyah";"Islamic Development Bank (IDB) Islamic Research and Training Institute (IRTI)";"Saudi Arabia";"Economy";"Journals";" Etudes en Economie Islamique  دراسات اقتصادية إسلامية ";38;1996-06-30;2019-01-31;"2411-3395";NA;"The Journal, Islamic Economic Studies (IES) publishes leading research across all fields of Islamic economics and finance. Established in 1414 Hijri (1993) it is one of the oldest and most respected scholarly journal in the Islamic economics and Islamic finance profession. IES is published semi-annually, in Muharram and Rajab, according to Islamic calendar. It is a peer reviewed and refereed journal that maintains high academic standards. IES is invaluable to professional and academic economists and students, published by Islamic Research and Training Institute, a member of the Islamic Development Bank Group.";NA;"https://search.emarefa.net/detail/BIM-107042";" Islamic Economic Studies"
"11";"BIM-108780";"al-Marquab";"Université de Balamand Centre d'études chrétien-musulmanes";"Lebanon";"Human Sciences (Multidisciplinary)Political Sciences";"Journals";NA;1;1998-09-30;1998-09-30;NA;"مجلة علمية تصدر عن جامعة البلمند، مركز الدراسات المسيحية الإسلامية. تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-108780";" المرقب"
"12";"BIM-108920";"al-Ijtihad";"دارالاجتهاد للأبحاث و الترجمة و النشر";"Lebanon";"Religion";"Journals";NA;2;1989-03-31;2002-12-31;NA;"مجلة متخصصة تعنى بقضايا الدين و المجتمع و التجديد العربي الإسلامي تصدر عن دار الاجتهاد للأبحاث و الترجمة و النشر، تنشر أبحاثها في مجال العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-108920";" الاجتهاد"
"13";"BIM-109161";"al-Kufa for Law And Political SciencesMajallah al-Kufah lil-Ulum al-Qanuniyah wa-al-Siyasiyahal-Kufa Journal for Law and Political Sciences";"University of Kufa Faculty of Law";"Iraq";"LawPolitical Sciences";"Journals";NA;44;2009-12-31;2020-03-31;"2070-9838";"مجلة محكمة تصدر عن كلية القانون و العلوم السياسية جامعة الكوفة، تاريخ نشر أول عدد سنة 2009، عدد الأعداد المنشورة كل سنة أربعة أعداد.";NA;NA;"https://search.emarefa.net/detail/BIM-109161";" مجلة الكوفة للعلوم القانونية و السياسية"
